;meta[language=en]
; id      |key(hex)|key(str)| text
;
; Tips for when i add spaces and : in front of lines. For example if you try to align
; the : with the string "Reputation system:", you must count the characters in "Reputation system"
; which is 17, then you mulitply by two and remove 1.
; There is always some variation since not all letters have the same width, but that should
; save you some time.
;
; Changed in v2.13:
;  - id 2115018393 was updated
;  - id 2115018445 was added
;  - id 2115018446 was added
;  - id 2115018297 was updated
;
; Changed in v2.12:
;  - changes are too vast to list here  unfortunately, i would recommend looking at
;    the changelog on github and finding the link to the diff between v2.11 to v2.12.
;
; Changed in v2.9:
;  - id 2115018288 was updated, the string as well as the key
;  - id 2115018289 was updated, the string as well as the key
;  - id 2115018297 was updated
;  - id 2115018403 was updated, the string as well as the key
;  - id 2115018404 was updated, the string as well as the key
;  - id 2115018405 was updated, the string as well as the key
;  - id 2115018406 was updated, the string as well as the key
;  - id 2115018466 was updated, the string as well as the key
;  - id 2115018467 was updated, the string as well as the key
;  - id 2115018433 was updated,
;
; Changed in v2.8:
;  - Anything below id: 2115018462 was added
;  - id 2115018275 was updated (completely rewritten)
;  - id 2115018460 was updated, careful the key was changed too.
;  - id 2115018403 was updated to add colors around the difficulty
;  - id 2115018404 was updated to add colors around the difficulty
;  - id 2115018405 was updated to add colors around the difficulty
;  - id 2115018406 was updated to add colors around the difficulty
;
; Changed in v2.7:
;  - Anything below id: 2115018400 was added
;  - id 2115018347 was deleted (all IDs after this line were decremented by 1)
;  - id 2115018290 was updated
;
; Changed in v2.6:
;  - Anything below id: 2115018342 was added
;  - id: 2115018277 was updated
;
;
2115018001|        |preset_value_rer_defaults|Por Defecto
2115018002|        |option_rer_custom_frequency_low_day|<font color="#ffd33d">                       Día:</font> retraso mínimo (en segundos)
2115018003|        |option_rer_custom_frequency_high_day|<font color="#ffd33d">                             :</font> retraso máximo (en segundos)
2115018004|        |option_rer_custom_frequency_low_night|<font color="#b392f0">                    Noche:</font> retraso mínimo (en segundos)
2115018005|        |option_rer_custom_frequency_hight_night|<font color="#b392f0">                             :</font> retraso máximo (en segundos)
2115018006|        |preset_value_rer_low|Bajo
2115018007|        |preset_value_rer_medium|Medio
2115018008|        |preset_value_rer_high|Alto
2115018009|        |panel_Mods|Mods
2115018010|        |panel_rer_name|Random Encounters Reworked
2115018011|        |panel_rer_main_settings|Ajustes Principales
2115018012|        |option_rer_city_spawn|Habilitar la aparición en Asentamientos
2115018013|        |preset_value_rer_select_yes|Sí
2115018014|        |preset_value_rer_select_no|No
2115018015|        |option_rer_difficulty|Dificultad de los Encuentros (afecta sobre todo al número de enemigos)
2115018016|        |preset_value_rer_easy|Fácil
2115018017|        |preset_value_rer_medium|Medio
2115018018|        |preset_value_rer_hard|Difícil
2115018019|        |preset_value_rer_random|Aleatorio
2115018020|        |option_rer_enemy_count_multiplier|<font color="#ffd33d">Multiplicador global</font>
2115018021|        |option_rer_monster_hunt_ratio_day|<font color="#ffd33d">Frecuencia</font>
2115018022|        |panel_rer_encounter_type|Tipos de Encuentro
2115018023|        |panel_rer_creature_frequency|Frecuencias de Criaturas
2115018024|        |panel_rer_creatures_ratios|Ratios de Criaturas
2115018025|        |panel_ambush_day_settings|Emboscada de Día
2115018026|        |panel_ambush_night_settings|Emboscada de Noche
2115018027|        |preset_value_rer_everything_off|Todo APAGADO
2115018028|        |preset_value_rer_everything_on|Todo ENCENDIDO
2115018029|        |option_rer_leshen|Leshens
2115018030|        |option_rer_werewolf|Hombres Lobo
2115018031|        |option_rer_cyclop|Cíclopes
2115018032|        |option_rer_arachas|Arachas
2115018033|        |option_rer_fiend|Demonibestias
2115018034|        |option_rer_chort|Chorts
2115018035|        |option_rer_vampire|Vampiros
2115018036|        |option_rer_bear|Osos
2115018037|        |option_rer_skelligebear|Osos de Skellige
2115018038|        |option_rer_golem|Golems
2115018039|        |option_rer_elemental|Elementales
2115018040|        |option_rer_nightwraith|Aparición nocturna
2115018041|        |option_rer_noonwraith|Damas del mediodía
2115018042|        |option_rer_troll|Trolls
2115018043|        |option_rer_skelligetroll|Trolls de Skellige
2115018044|        |option_rer_hag|Brujas del agua/Brujas sepulcral
2115018045|        |option_rer_harpy|Arpías
2115018046|        |option_rer_fogling|Boiras
2115018047|        |option_rer_endrega|Endriagos
2115018048|        |option_rer_ghoul|Ghuls
2115018049|        |option_rer_alghoul|Alghuls
2115018050|        |option_rer_nekker|Nekkers
2115018051|        |option_rer_drowner|Sumergidos
2115018052|        |option_rer_rotfiend|Demonios podridos
2115018053|        |option_rer_wolf|Lobos
2115018054|        |option_rer_skelligewolf|Lobos de Skellige
2115018055|        |option_rer_wraith|Apariciones
2115018056|        |option_rer_spider|Arañas
2115018057|        |option_rer_boar|Jabalíes
2115018058|        |option_rer_higher_vampire|Vampiros supremos
2115018059|        |option_rer_bruxa|Lamias
2115018060|        |option_rer_fleder|Fleders
2115018061|        |option_rer_garkain|Garkains
2115018062|        |option_rer_scurver|Espinosos
2115018063|        |option_rer_giant|Gigantes
2115018064|        |option_rer_skeleton|Esqueletos
2115018065|        |option_rer_barghest|Barghests
2115018066|        |option_rer_echinops|Arquespores
2115018067|        |option_rer_centipede|Ciempiés gigantes
2115018068|        |option_rer_kikimore|Kikimoras
2115018069|        |option_rer_panther|Panteras
2115018070|        |option_rer_shaelmaar|Shaelmaars
2115018071|        |option_rer_wight|Criaturas
2115018072|        |option_rer_human|Bandidos
2115018073|        |option_rer_wildhunt|Cacería Salvaje
2115018074|        |option_rer_gryphon|Grifos
2115018075|        |option_rer_cockatrice|Gallotrices
2115018076|        |option_rer_wyvern|Wyvernos
2115018077|        |option_rer_forktail|Colihendidos
2115018078|        |option_rer_basilisk|Basiliscos
2115018079|        |option_rer_katakan|Katakans
2115018080|        |option_rer_ekimmara|Ekimmaras
2115018081|        |option_rer_siren|Sirenas
2115018082|        |option_rer_berserker|Berserkers
2115018083|        |option_rer_dracolizard|Eslizones
2115018084|        |option_rer_gargoyle|Gárgolas
